experiment_format,post_id,platform,song,post_url,published_date,source_row,views,likes,comments,shares,saves,subs_delta,evidence_note
YouTube archive video CTA,FP-PLAN-ANALOG-MYTH-YOUTUBE-COMMUNITY,YouTube,Analog Myth,https://youtu.be/404PvtuXnqY,2026-06-29,28,0,0,0,,,,YouTube Data API public statistics 2026-07-03; video_id=404PvtuXnqY
Short video clip + platform-native CTA,FP-SHORT-ANALOG-MYTH-YOUTUBE-SHORTS-CTA,YouTube,Analog Myth,https://youtu.be/lbT4adNE-cE,2026-06-29,26,0,0,0,,,,YouTube Data API public statistics 2026-07-03; video_id=lbT4adNE-cE
Short video clip + platform-native CTA,FP-SHORT-TWELVE-DOLLARS-YOUTUBE-SHORTS-CTA,YouTube,Twelve Dollars,https://youtu.be/0d0PXb_h4FY,2026-06-29,27,0,0,0,,,,YouTube Data API public statistics 2026-07-03; video_id=0d0PXb_h4FY
